f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,label
0.759529,-0.831916,0.614769,-2.055132,0.293699,0.953900,-0.740497,3.519166,2.271097,0.071523,1.622804,8.213548,-1.543391,-1.106017,6.695940,-1.669054,-0.442703,0.529160,0.299992,0.032738,8
-2.263222,0.212227,-2.074771,0.867646,0.181541,-1.249419,-1.035547,-0.909551,-0.615775,2.416433,0.944133,-6.250229,3.075701,-0.551276,-3.906834,1.381510,-0.596325,2.086246,0.327960,1.047224,7
-0.658168,0.216224,1.037338,1.010392,1.183686,-1.636787,0.834435,-4.618670,0.515359,0.817899,-1.210098,-4.859554,-0.878123,-1.230348,-3.074221,0.001085,0.007417,-1.636518,1.914685,2.193327,6
-0.427197,1.760758,2.049354,0.635949,-1.288704,-0.454698,-1.854403,-5.221851,0.449423,0.434361,-0.916047,-3.301835,1.062212,-0.111164,1.779256,-0.361600,0.763620,-1.647472,0.354775,-4.707336,8
-0.654900,-0.272889,0.999806,0.454154,-1.168406,-0.372746,-2.770924,-7.010737,0.547690,-0.996447,-0.273376,1.229161,-1.350066,0.180309,4.378828,2.226446,0.277775,-1.064375,-1.671752,-6.600342,7
0.064623,-0.989587,-2.587422,-1.223963,0.701084,-0.213491,-1.017264,0.932135,0.424573,0.340472,-0.018845,2.564619,1.335376,-0.594733,2.175985,0.541047,-0.208517,-0.854270,0.059784,0.403000,1
1.635483,1.777647,-4.480883,0.121047,2.009523,-1.742093,-0.165644,1.927893,0.361969,0.208700,-0.498030,-1.271266,3.145628,0.858048,-6.205484,-0.169724,0.843587,2.484589,-0.600935,4.826385,1
-0.538666,2.248529,-1.633682,0.163153,-0.876472,-0.937485,-1.215925,0.686248,2.305789,1.578568,1.535757,-0.556972,1.185731,-1.192283,-3.398235,0.105717,0.934172,3.377983,-0.909210,3.670688,7
-1.657593,1.389371,1.755784,-2.161199,-0.226507,0.854289,-2.958577,-1.863221,0.414434,-0.804780,1.302926,7.734681,-0.237953,-0.642208,9.865483,-0.169207,0.696219,-3.400822,0.667073,-5.527677,7
0.638766,-1.329832,-0.568435,0.314334,0.587004,-1.110886,-1.393209,-3.815941,0.305159,0.020684,-1.592925,0.824816,-1.061850,0.085755,1.379056,0.129017,0.533852,1.057865,-1.137596,-1.944236,2
-0.337296,1.937019,-1.157874,-1.820646,0.106766,-0.195779,-1.456159,0.325069,-0.567513,0.228778,0.782388,4.302685,1.151914,0.094444,3.153761,-0.311725,0.457543,-2.230320,-1.106051,1.492605,2
0.426090,0.312277,-3.270494,-1.098885,1.521562,-0.553445,-0.594997,1.252093,-1.412546,-0.190151,0.038182,2.725373,1.509146,0.519568,-0.213082,-0.546819,0.090854,-0.888380,0.116467,2.518009,1
-0.643633,-1.270677,-1.066339,-0.666105,1.223287,-0.598038,-1.071773,-1.364031,-0.803252,-1.094549,0.528712,5.625628,-1.874727,0.720459,3.011229,-0.981342,-0.132998,0.617972,0.408063,-0.869690,2
0.384483,0.216669,-2.099336,-0.942001,-1.182216,0.854577,-1.078771,0.981778,-0.865422,0.298285,0.477717,1.587852,1.197772,0.159139,1.216351,-0.472149,-2.033890,-1.445325,-0.171037,0.585157,8
