f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,label
0.895488,1.421616,1.654939,-1.203543,0.937028,-0.431975,0.852956,3.111747,-0.310093,-0.615162,-0.741118,3.216629,1.232117,0.720036,2.574694,-0.125528,-0.161483,-0.573738,-0.870492,-0.071689,0
1.839460,1.592597,2.321656,1.009491,0.343619,-1.468616,-1.067074,-4.574767,2.422829,-0.739702,1.087370,-2.614795,1.222407,-0.891193,0.683826,0.830081,-0.554903,0.178451,-0.473791,-5.501460,0
-1.106036,-3.043617,1.723261,0.907084,0.562849,1.941515,0.539949,1.161932,0.430990,1.958644,-0.724842,-6.566645,0.989428,-0.640477,1.287692,-0.082430,1.236382,-0.065655,0.613541,-4.409423,4
-1.243101,-1.130962,-1.162271,-0.596003,-0.078582,-0.565083,-0.842296,-0.761381,-0.560760,0.434058,0.925568,3.804286,-2.095306,2.000137,1.376829,0.684940,0.381973,1.398402,-0.340900,2.162558,2
0.044319,1.387920,1.524315,-0.647386,0.535493,-0.649722,-2.369935,-2.084971,0.157947,-0.967598,-0.522599,3.551698,1.467443,-0.626345,5.767626,-1.508530,-2.344570,-0.012426,-0.714407,-6.637749,6
0.727528,-0.830537,0.149168,0.485205,1.551319,-1.122326,-0.660768,-3.664720,-1.695767,0.412535,0.635187,0.742363,-2.663755,0.417562,-0.133866,0.919267,-1.585714,1.273550,-0.182988,1.088761,2
0.186728,-2.047718,-0.304884,0.102593,-0.451448,-0.493209,-0.301174,-1.720850,-0.947640,1.761149,-0.742289,-0.785101,-1.631394,0.211084,0.376615,-0.622700,-0.658427,0.557543,-0.381806,1.617793,2
-1.438846,0.938087,3.636822,1.874990,-0.845531,0.487895,-3.994315,-9.704306,-0.673532,-2.015234,0.001089,-3.612175,1.490071,-0.335558,5.860842,-0.465775,-0.278711,-1.101892,0.572563,-16.193840,8
0.309410,0.733693,-2.770693,1.113833,0.801861,-0.847572,-0.960232,-0.691866,0.513838,2.369196,-0.972822,-6.795782,3.041589,0.135981,-5.724127,1.444034,-1.159475,1.949651,0.084875,2.086651,1
-0.946849,0.620970,0.482485,-1.954707,0.134268,-0.009671,-0.928665,0.676346,0.678426,-0.319105,0.766997,5.800742,0.075665,-0.692089,5.763407,-0.740824,0.747518,-2.277736,-0.679093,-0.830273,2
1.363145,1.049261,-0.153944,-2.721697,-0.270461,1.255452,-1.391850,4.695465,0.391524,-0.780504,1.008081,9.559059,0.590517,0.258790,7.411509,-0.244285,0.481741,-0.810925,1.079330,-1.139870,8
-0.666561,-2.940749,1.395652,2.321613,-0.134560,1.716712,0.302123,-3.528713,2.239378,2.654394,-1.094274,-10.723227,-0.861482,-1.855066,-2.475718,-0.637992,0.524054,-0.630576,1.663812,-2.317776,4
-0.744255,1.509905,1.768454,-0.267783,0.166473,-0.305770,-2.529155,-2.520104,2.071194,-0.820114,0.008200,1.826805,1.832584,1.124400,5.324787,-0.837359,0.128671,0.168975,-0.830794,-7.790804,6
